id,name,slug,games_count,image_background
46,Surreal,surreal,6347,https://media.rawg.io/media/screenshots/4a0/4a067c93dd1f331ac7a2e77bb3fc46e0.jpg
101,Turn-Based Strategy,turn-based-strategy,6345,https://media.rawg.io/media/screenshots/7f8/7f8b58994fc420fefaa5fb9992335a11.jpg
654,blocks,blocks,6316,https://media.rawg.io/media/screenshots/676/6767f33d25f567005222cac8e9a7331c.jpg
80,Tactical,tactical,6313,https://media.rawg.io/media/games/0bd/0bd5646a3d8ee0ac3314bced91ea306d.jpg
1069,ball,ball,6294,https://media.rawg.io/media/screenshots/51d/51d8837f9b802166e63b3008e2335c6f.jpg
411,cooperative,cooperative,6268,https://media.rawg.io/media/games/587/587588c64afbff80e6f444eb2e46f9da.jpg
121,Character Customization,character-customization,6246,https://media.rawg.io/media/games/238/2383a172b4d50a7b44e07980eb7141ea.jpg
1897,fire,fire,6127,https://media.rawg.io/media/games/5b6/5b67d47234ad4f18d957de0f890cc0b1.jpg
2664,prototype,prototype,6079,https://media.rawg.io/media/screenshots/9d0/9d0d8cd84c55606b0cf980de29d37911.jpg
175,Turn-Based Combat,turn-based-combat,6072,https://media.rawg.io/media/games/b5d/b5d5f8b3ac428c1c6e31518ab2670414.jpg
45878,Online PvP,online-pvp,6041,https://media.rawg.io/media/games/4fe/4feffcec6315c5f5a96442a8444431ca.jpg
575,Logic,logic,5973,https://media.rawg.io/media/screenshots/737/737028350ce7f1b2e555f3f757ff01dc.jpg
75,Local Co-Op,local-co-op,5948,https://media.rawg.io/media/games/d1a/d1a1202a378607b6c635c8f18ace95dd.jpg
1400,Game Maker's Toolkit Jam,game-makers-toolkit-jam,5925,https://media.rawg.io/media/screenshots/1b0/1b0d06cb0815cd8d207750160f5a0992.jpg
617,weird,weird,5852,https://media.rawg.io/media/screenshots/b79/b7900b085d316204c10f6cf2c8095fc0.jpg
717,jumping,jumping,5846,https://media.rawg.io/media/screenshots/848/848f15c8d0edef7cecc8bd74143372b7.jpg
1632,cars,cars,5834,https://media.rawg.io/media/games/19e/19ea8efb10fcbcf1b9c60729d510ed14.jpg
11669,stats,stats,5773,https://media.rawg.io/media/games/b49/b4912b5dbfc7ed8927b65f05b8507f6c.jpg
612,My First Game Jam,my-first-game-jam,5757,https://media.rawg.io/media/screenshots/5cb/5cbea65cd45ba6d4bf6e2e15596cd93b.jpg
569,Minigames,minigames,5713,https://media.rawg.io/media/screenshots/5a2/5a2a41c745ae3120ce01399094b5b5d4.jpg
209,Drama,drama,5590,https://media.rawg.io/media/games/cd0/cd074f3f6045297cda9ad077273c09b6.jpg
597,artgame,artgame,5565,https://media.rawg.io/media/screenshots/f31/f31604b64e379e2a3a70ff3e38d032fe.jpg
102,Turn-Based,turn-based,5551,https://media.rawg.io/media/games/6e0/6e0c19bb111bd4fa20cf0eb72a049519.jpg
130,Driving,driving,5524,https://media.rawg.io/media/games/19a/19a512a8c1293c22894b7364e1405ec1.jpg
646,maze,maze,5522,https://media.rawg.io/media/screenshots/be8/be882d1ac511793ef5415eb87367cd2c.jpeg
741,16-bit,16-bit,5502,https://media.rawg.io/media/screenshots/f6a/f6a1d3c35be275ae1b81e115a3ddbb00.jpg
3075,coins,coins,5411,https://media.rawg.io/media/screenshots/006/00697cd29c5c79610aff9945b6af61fd.jpg
40,Dark Fantasy,dark-fantasy,5351,https://media.rawg.io/media/games/8fc/8fc59e74133fd8a8a436b7e2d0fb36c2.jpg
881,Twine,twine,5341,https://media.rawg.io/media/screenshots/b8b/b8bb4c2df78b2f638ee92f4f318baf93.jpg
140,Hidden Object,hidden-object,5324,https://media.rawg.io/media/games/981/981c3e9d9d931e64bc294eec9ebbeb6c.jpg
125,Crafting,crafting,5248,https://media.rawg.io/media/games/8a7/8a75028028592f9323d1e6e86668bb91.jpg
54,Score Attack,score-attack,5216,https://media.rawg.io/media/screenshots/ac8/ac8e4bf022bd80e778f05064a48cdb3a.jpg
1325,kids,kids,5194,https://media.rawg.io/media/screenshots/38d/38d512e3301515dc214d6271d3b205ce.jpg
99,Isometric,isometric,5137,https://media.rawg.io/media/games/c06/c06d88c35785c8003147cb53c84af033.jpg
252,Mouse only,mouse-only,5131,https://media.rawg.io/media/screenshots/f75/f75aabb4cf9d6897b428356871d51566.jpg
226,Cyberpunk,cyberpunk,5095,https://media.rawg.io/media/screenshots/67e/67e5be6ad7a555248f50bd367e9a071c.jpg
68,Hack and Slash,hack-and-slash,5081,https://media.rawg.io/media/games/21c/21cc15d233117c6809ec86870559e105.jpg
233,JRPG,jrpg,5046,https://media.rawg.io/media/games/16a/16a81cc458b0acb6ed2bcfd2a10f1527.jpg
1411,build,build,5043,https://media.rawg.io/media/games/825/82575be8cc9ea947a10dbdfd45c3b4d8.jpg
710,Global Game Jam,global-game-jam,4992,https://media.rawg.io/media/screenshots/803/803da644a442a71b1b4cb81c6559c779.jpg
1778,food,food,4927,https://media.rawg.io/media/screenshots/711/711a4f90f16e2a07c5e731922ea27ca8.jpeg
334,achievements,achievements,4927,https://media.rawg.io/media/games/6cc/6cc68fa183b905ac9d85efb9797776f6.jpg
2948,infinite-runner,infinite-runner,4882,https://media.rawg.io/media/screenshots/a18/a1805d8671116e897d5c1134beda3440.jpg
1309,hero,hero,4859,https://media.rawg.io/media/screenshots/81b/81bc8509f69be0e0d81caceab71df17d.jpg
586,Ludum Dare,ludum-dare,4816,https://media.rawg.io/media/screenshots/bc8/bc8c7aeb1d47949499b0a35fd2409c6c.jpg
570,Old School,old-school,4793,https://media.rawg.io/media/screenshots/e9e/e9e13e0a1b9e6d95d438f6d58c99a440.jpg
222,Choose Your Own Adventure,choose-your-own-adventure,4777,https://media.rawg.io/media/games/d8f/d8f3b28fc747ed6f92943cdd33fb91b5.jpeg
43,Post-apocalyptic,post-apocalyptic,4737,https://media.rawg.io/media/games/476/476178ef18ab0534771d099f51cdc694.jpg
5222,avoid,avoid,4690,https://media.rawg.io/media/screenshots/291/29135ecd06cd54c4f13a8bcddbba8fba.jpg
53,Flight,flight,4678,https://media.rawg.io/media/screenshots/123/123745b2adbd3cbc7c8e41fc839230dd.jpg
259,Metroidvania,metroidvania,4628,https://media.rawg.io/media/games/578/57885b9590c9a9f80ceea34d147a34c4.jpg
3046,destroy,destroy,4619,https://media.rawg.io/media/screenshots/2af/2aff127d5caa7985bfdb5106f75052fe.jpg
288,Interactive Fiction,interactive-fiction,4610,https://media.rawg.io/media/games/0f4/0f4f4764555736eebfeb01571e44e99e.jpg
1787,mobile,mobile,4592,https://media.rawg.io/media/screenshots/452/45212651232aa13fbed24a6a925bf1f5.jpg
712,school,school,4580,https://media.rawg.io/media/screenshots/b87/b876d9664840d7e2f53cf5c649476935.jpg
42473,Immersive Sim,immersive-sim-2,4573,https://media.rawg.io/media/games/f6b/f6bed028b02369d4cab548f4f9337e81.jpg
312,NSFW,nsfw,4569,https://media.rawg.io/media/screenshots/c60/c60705b791a1cf8c1160246b3cf10a9f.jpg
1652,night,night,4493,https://media.rawg.io/media/games/89c/89ceadfd42109aa0d80e9c5dbc86f277.jpg
37796,exclusive,exclusive,4491,https://media.rawg.io/media/games/364/3642d850efb217c58feab80b8affaa89.jpg
162,Board Game,board-game,4468,https://media.rawg.io/media/screenshots/b00/b00b7cc04dd09531b631ea4575696276.jpg
1369,Bitsy,bitsy,4461,https://media.rawg.io/media/screenshots/64a/64a2b3a442cbf958e3eb88a975b1e457.jpg
620,Spooky,spooky,4409,https://media.rawg.io/media/games/845/845c169bc697b1e405ac2fe709a172b6.jpg
192,Mature,mature,4398,https://media.rawg.io/media/games/8ca/8ca40b562a755d6a0e30d48e6c74b178.jpg
740,demo,demo,4393,https://media.rawg.io/media/screenshots/840/840d1122ea38dc5cf9133f0e0d4613f6.jpg
625,party,party,4216,https://media.rawg.io/media/games/c93/c937ca05b295dceab6de72f69e329ba2.jpg
730,youtube,youtube,4215,https://media.rawg.io/media/screenshots/d7b/d7b7a8d13aa7fc8cfb0dabc5d597bc15_6qWuh2W.jpg
1315,room,room,4214,https://media.rawg.io/media/screenshots/ee5/ee5478b7045545c20586b209535a6226.jpg
2528,brain,brain,4213,https://media.rawg.io/media/games/161/161395a72ad63d0fe568cfb301cd3023.jpg
49955,Puzzle Platformer,puzzle-platformer-2,4196,https://media.rawg.io/media/games/d70/d70084559f41e7a7d4b1cc441c163763.jpg
49964,Action Roguelike,action-roguelike-2,4182,https://media.rawg.io/media/games/57b/57beb9f7e99306671ce02b51f79680f5.jpg
572,Emotional,emotional,4159,https://media.rawg.io/media/games/718/71891d2484a592d871e91dc826707e1c.jpg
176,Turn-Based Tactics,turn-based-tactics,4146,https://media.rawg.io/media/games/0da/0da3910a656f417ef5853381b9f97e59.jpg
581,Epic,epic,4131,https://media.rawg.io/media/games/08e/08e8d09cd5aae30959c4486649fda3e6.jpg
66536,Романтика,romantika,4108,https://media.rawg.io/media/games/279/279a4377b3499615155908764e297e1c.jpg
150,Third-Person Shooter,third-person-shooter,4026,https://media.rawg.io/media/games/7ac/7aca7ccf0e70cd0974cb899ab9e5158e.jpg
188,Parkour,parkour,3991,https://media.rawg.io/media/games/5bb/5bb55ccb8205aadbb6a144cf6d8963f1.jpg
37797,true exclusive,true-exclusive,3980,https://media.rawg.io/media/games/276/2769b1982cd132a60c69dc5d574445fa.jpg
982,run,run,3974,https://media.rawg.io/media/screenshots/244/244009926f063bbf48e3d240e2af2d73.jpg
703,PICO-8,pico-8,3909,https://media.rawg.io/media/screenshots/b45/b45a1289d307ffc657a7335a47fb5464.jpg
142,Detective,detective,3905,https://media.rawg.io/media/games/0b3/0b34647c42271600399b93d19b10f1aa.jpg
3602,assets,assets,3900,https://media.rawg.io/media/screenshots/2bc/2bc9af91a0cf98369f8fe4ce1e34fba7.jpg
51,Destruction,destruction,3878,https://media.rawg.io/media/games/d3e/d3e2a3bc62a62bc9b70d6ebe0f54f040.jpg
1807,water,water,3865,https://media.rawg.io/media/screenshots/97a/97ab26a9d092783e68190dc686916b0b.jpg
4881,bugs,bugs,3840,https://media.rawg.io/media/screenshots/124/12467d762d36a8078f2ce101e4a0814c.jpg
89,Historical,historical,3835,https://media.rawg.io/media/games/59f/59fc1c5de1d29cb9234741c97d250150.jpg
